FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 90
Azimuth_end : 90
Azimuth_inc : 90
Range_beg : 100
Range_end : 50000
Range_inc : 100
Depth_beg : 20
Depth_end : 1000
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : 4135H__080_2100_080

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
90           600      380      168.865             
90           600      400      169.041             
90           600      420      169.243             
90           600      440      169.414             
90           600      460      169.406             
90           600      480      169.432             
90           600      500      169.421             
90           600      520      169.361             
90           600      540      169.361             
90           600      560      169.335             
90           600      580      169.336             
90           600      600      169.182             
90           600      620      169.058             
90           600      640      169.024             
90           600      660      168.858             
90           600      680      169.148             
90           600      700      168.638             
90           600      720      169.094             
90           600      740      169.111             
90           600      760      169.043             
90           600      780      169.045             
90           600      800      169.053             
90           600      820      168.903             
90           600      840      168.87              
90           600      860      168.902             
90           600      880      169.034             
90           600      900      168.793             
90           600      920      168.716             
90           600      940      168.444             
90           600      960      168.68              
90           600      980      168.476             
90           600      1000     168.467             
90           700      20       161.718             
90           700      40       164.5               
90           700      60       165.985             
90           700      80       167.187             
90           700      100      167.982             
90           700      120      168.105             
90           700      140      168.561             
90           700      160      168.296             
90           700      180      168.354             
90           700      200      168.003             
90           700      220      167.965             
90           700      240      167.792             
90           700      260      167.342             
90           700      280      166.993             
90           700      300      166.854             
90           700      320      166.618             
90           700      340      166.548             
90           700      360      166.578             
90           700      380      166.804             
90           700      400      167.179             
90           700      420      167.453             
90           700      440      167.623             
90           700      460      167.63              
90           700      480      167.837             
90           700      500      168.108             
90           700      520      168.248             
90           700      540      168.179             
90           700      560      168.27              
90           700      580      168.143             
90           700      600      168.072             
90           700      620      168.337             
90           700      640      168.238             
90           700      660      168.745             
90           700      680      167.808             
90           700      700      167.864             
90           700      720      168.021             
90           700      740      167.9               
90           700      760      167.992             
90           700      780      167.906             
90           700      800      167.844             
90           700      820      167.685             
90           700      840      167.734             
90           700      860      167.919             
90           700      880      167.791             
90           700      900      167.738             
90           700      920      167.539             
90           700      940      167.601             
90           700      960      167.686             
90           700      980      167.744             
90           700      1000     167.71              
90           800      20       160.012             
90           800      40       162.507             
90           800      60       164.215             
90           800      80       165.517             
90           800      100      166.188             
90           800      120      166.703             
90           800      140      166.76              
90           800      160      167.115             
90           800      180      166.979             
90           800      200      167.237             
90           800      220      167.182             
90           800      240      167.102             
90           800      260      166.889             
90           800      280      166.587             
90           800      300      166.161             
90           800      320      166.139             
90           800      340      165.874             
90           800      360      165.805             
90           800      380      165.64              
90           800      400      165.488             
90           800      420      165.387             
90           800      440      165.604             
90           800      460      165.957             
90           800      480      166.087             
90           800      500      166.361             
90           800      520      166.788             
90           800      540      166.67              
90           800      560      166.686             
90           800      580      166.829             
90           800      600      166.897             
90           800      620      166.991             
90           800      640      167.094             
90           800      660      167.172             
90           800      680      167.105             
90           800      700      167.173             
90           800      720      167.268             
90           800      740      167.245             
90           800      760      167.008             
90           800      780      166.979             
90           800      800      166.905             
90           800      820      166.88              
90           800      840      166.985             
90           800      860      166.86              
90           800      880      166.778             
90           800      900      166.583             
90           800      920      166.838             
90           800      940      166.856             
90           800      960      166.769             
90           800      980      166.869             
90           800      1000     166.647             
90           900      20       158.335             
90           900      40       161.018             
90           900      60       162.982             
90           900      80       163.93              
90           900      100      164.393             
90           900      120      165.24              
90           900      140      165.668             
90           900      160      165.767             
90           900      180      165.887             
90           900      200      166.21              
90           900      220      165.93              
90           900      240      166.278             
90           900      260      166.051             
90           900      280      165.841             
90           900      300      166.022             
90           900      320      165.746             
90           900      340      165.347             
90           900      360      165.14              
90           900      380      164.928             
90           900      400      164.806             
90           900      420      164.827             
90           900      440      164.811             
90           900      460      164.71              
90           900      480      164.761             
90           900      500      164.663             
90           900      520      164.885             
90           900      540      165.019             
90           900      560      165.194             
90           900      580      165.516             
90           900      600      166.502             
90           900      620      165.505             
90           900      640      165.591             
90           900      660      166.028             
90           900      680      166.07              
90           900      700      166.209             
90           900      720      166.246             
90           900      740      166.12              
90           900      760      165.981             
90           900      780      166.043             
90           900      800      166.172             
90           900      820      166.207             
90           900      840      166.304             
90           900      860      166.1               
90           900      880      165.937             
90           900      900      166.195             
90           900      920      166.163             
90           900      940      166.102             
90           900      960      166.179             
90           900      980      165.826             
90           900      1000     165.855             
90           1000     20       157.266             
90           1000     40       159.678             
90           1000     60       160.818             
90           1000     80       162.108             
90           1000     100      163.402             
90           1000     120      163.974             
90           1000     140      164.339             
90           1000     160      164.484             
90           1000     180      164.694             
90           1000     200      165.112             
90           1000     220      164.958             
90           1000     240      165.408             
90           1000     260      165.348             
90           1000     280      165.337             
90           1000     300      165.147             
90           1000     320      165.001             
90           1000     340      165.012             
90           1000     360      164.565             
90           1000     380      164.187             
90           1000     400      164.404             
90           1000     420      164.26              
90           1000     440      164.316             
90           1000     460      163.978             
90           1000     480      163.811             
90           1000     500      163.879             
90           1000     520      163.862             
90           1000     540      164.04              
90           1000     560      164.914             
90           1000     580      163.622             
90           1000     600      164.317             
90           1000     620      164.422             
90           1000     640      164.38              
90           1000     660      164.987             
90           1000     680      165.077             
90           1000     700      164.985             
90           1000     720      164.912             
90           1000     740      165.108             
90           1000     760      165.047             
90           1000     780      165.279             
90           1000     800      165.28              
90           1000     820      165.411             
90           1000     840      165.279             
90           1000     860      165.163             
90           1000     880      165.361             
90           1000     900      165.346             
90           1000     920      165.393             
90           1000     940      165.502             
90           1000     960      165.189             
90           1000     980      164.975             
90           1000     1000     164.979             
90           1100     20       155.927             
