FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 270
Azimuth_end : 270
Azimuth_inc : 40
Range_beg : 100
Range_end : 50000
Range_inc : 100
Depth_beg : 20
Depth_end : 1000
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : 4135H__080_2100_080

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
270          600      380      169.258             
270          600      400      169.392             
270          600      420      169.473             
270          600      440      169.539             
270          600      460      169.562             
270          600      480      169.756             
270          600      500      169.815             
270          600      520      169.722             
270          600      540      169.676             
270          600      560      169.658             
270          600      580      169.791             
270          600      600      169.742             
270          600      620      169.633             
270          600      640      169.504             
270          600      660      169.482             
270          600      680      169.506             
270          600      700      169.534             
270          600      720      169.557             
270          600      740      169.41              
270          600      760      169.303             
270          600      780      169.31              
270          600      800      169.403             
270          600      820      169.282             
270          600      840      169.135             
270          600      860      168.949             
270          600      880      169.125             
270          600      900      169.037             
270          600      920      169.245             
270          600      940      168.724             
270          600      960      168.528             
270          600      980      168.515             
270          600      1000     168.627             
270          700      20       161.653             
270          700      40       164.516             
270          700      60       166.262             
270          700      80       167.333             
270          700      100      167.939             
270          700      120      168.327             
270          700      140      168.512             
270          700      160      168.556             
270          700      180      168.505             
270          700      200      168.274             
270          700      220      168.077             
270          700      240      167.886             
270          700      260      167.654             
270          700      280      167.486             
270          700      300      167.408             
270          700      320      167.227             
270          700      340      167.24              
270          700      360      167.181             
270          700      380      167.223             
270          700      400      167.599             
270          700      420      167.7               
270          700      440      168.052             
270          700      460      168.032             
270          700      480      168.137             
270          700      500      168.197             
270          700      520      168.269             
270          700      540      168.402             
270          700      560      168.423             
270          700      580      168.451             
270          700      600      168.446             
270          700      620      168.407             
270          700      640      168.424             
270          700      660      168.465             
270          700      680      168.451             
270          700      700      168.333             
270          700      720      168.176             
270          700      740      168.165             
270          700      760      168.19              
270          700      780      168.255             
270          700      800      168.332             
270          700      820      168.288             
270          700      840      168.017             
270          700      860      168.15              
270          700      880      168.116             
270          700      900      168.209             
270          700      920      167.998             
270          700      940      167.993             
270          700      960      167.915             
270          700      980      168.063             
270          700      1000     167.955             
270          800      20       159.66              
270          800      40       162.551             
270          800      60       164.4               
270          800      80       165.587             
270          800      100      166.22              
270          800      120      166.759             
270          800      140      166.997             
270          800      160      167.2               
270          800      180      167.218             
270          800      200      167.337             
270          800      220      167.348             
270          800      240      167.342             
270          800      260      167.17              
270          800      280      166.96              
270          800      300      166.611             
270          800      320      166.182             
270          800      340      165.838             
270          800      360      166.004             
270          800      380      166.135             
270          800      400      166.383             
270          800      420      165.9               
270          800      440      166.181             
270          800      460      166.35              
270          800      480      166.482             
270          800      500      166.94              
270          800      520      167.17              
270          800      540      167.218             
270          800      560      167.206             
270          800      580      167.205             
270          800      600      167.283             
270          800      620      167.39              
270          800      640      167.428             
270          800      660      167.434             
270          800      680      167.313             
270          800      700      167.268             
270          800      720      167.288             
270          800      740      167.377             
270          800      760      167.312             
270          800      780      167.168             
270          800      800      167.127             
270          800      820      167.167             
270          800      840      167.088             
270          800      860      167.329             
270          800      880      166.788             
270          800      900      166.882             
270          800      920      166.916             
270          800      940      166.981             
270          800      960      167.039             
270          800      980      167.14              
270          800      1000     166.992             
270          900      20       157.879             
270          900      40       160.873             
270          900      60       162.746             
270          900      80       163.971             
270          900      100      164.696             
270          900      120      165.254             
270          900      140      165.623             
270          900      160      165.837             
270          900      180      166.011             
270          900      200      166.212             
270          900      220      166.309             
270          900      240      166.287             
270          900      260      166.265             
270          900      280      166.153             
270          900      300      166.18              
270          900      320      165.971             
270          900      340      165.881             
270          900      360      165.537             
270          900      380      165.36              
270          900      400      165.136             
270          900      420      165.235             
270          900      440      165.196             
270          900      460      164.902             
270          900      480      164.809             
270          900      500      165.054             
270          900      520      165.33              
270          900      540      165.471             
270          900      560      165.714             
270          900      580      166.096             
270          900      600      166.171             
270          900      620      166.152             
270          900      640      166.176             
270          900      660      166.295             
270          900      680      166.472             
270          900      700      166.631             
270          900      720      166.58              
270          900      740      166.546             
270          900      760      166.445             
270          900      780      166.26              
270          900      800      166.371             
270          900      820      166.49              
270          900      840      166.722             
270          900      860      166.416             
270          900      880      166.205             
270          900      900      166.113             
270          900      920      166.332             
270          900      940      166.226             
270          900      960      166.106             
270          900      980      165.949             
270          900      1000     165.945             
270          1000     20       156.501             
270          1000     40       159.267             
270          1000     60       161.324             
270          1000     80       162.376             
270          1000     100      163.128             
270          1000     120      163.946             
270          1000     140      164.365             
270          1000     160      164.512             
270          1000     180      164.904             
270          1000     200      164.954             
270          1000     220      165.334             
270          1000     240      165.387             
270          1000     260      165.473             
270          1000     280      165.509             
270          1000     300      165.316             
270          1000     320      165.334             
270          1000     340      165.124             
270          1000     360      164.963             
270          1000     380      164.618             
270          1000     400      164.826             
270          1000     420      164.608             
270          1000     440      164.469             
270          1000     460      164.403             
270          1000     480      164.253             
270          1000     500      164.298             
270          1000     520      164.277             
270          1000     540      164.37              
270          1000     560      164.592             
270          1000     580      164.639             
270          1000     600      164.447             
270          1000     620      164.261             
270          1000     640      164.64              
270          1000     660      165.198             
270          1000     680      165.262             
270          1000     700      165.347             
270          1000     720      165.334             
270          1000     740      165.432             
270          1000     760      165.749             
270          1000     780      165.541             
270          1000     800      166.014             
270          1000     820      165.25              
270          1000     840      165.561             
270          1000     860      165.777             
270          1000     880      165.748             
270          1000     900      165.793             
270          1000     920      165.832             
270          1000     940      165.559             
270          1000     960      165.47              
270          1000     980      165.381             
270          1000     1000     165.543             
270          1100     20       155.103             
270          1100     40       157.839             
270          1100     60       159.784             
270          1100     80       161.004             
270          1100     100      161.867             
270          1100     120      162.684             
270          1100     140      162.723             
270          1100     160      163.216             
270          1100     180      163.724             
270          1100     200      163.726             
270          1100     220      164.522             
270          1100     240      164.243             
270          1100     260      164.693             
270          1100     280      164.574             
270          1100     300      164.677             
270          1100     320      164.852             
270          1100     340      164.589             
270          1100     360      164.59              
