FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 270
Azimuth_end : 270
Azimuth_inc : 40
Range_beg : 100
Range_end : 50000
Range_inc : 100
Depth_beg : 20
Depth_end : 1000
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : WG_5085_2100

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
270          600      380      170.344             
270          600      400      170.473             
270          600      420      170.561             
270          600      440      170.561             
270          600      460      170.621             
270          600      480      170.82              
270          600      500      170.79              
270          600      520      170.61              
270          600      540      170.674             
270          600      560      170.756             
270          600      580      170.957             
270          600      600      171.051             
270          600      620      170.989             
270          600      640      170.809             
270          600      660      170.823             
270          600      680      170.888             
270          600      700      170.923             
270          600      720      170.932             
270          600      740      170.716             
270          600      760      170.56              
270          600      780      170.597             
270          600      800      170.723             
270          600      820      170.547             
270          600      840      170.354             
270          600      860      170.124             
270          600      880      170.229             
270          600      900      170.179             
270          600      920      170.374             
270          600      940      169.777             
270          600      960      169.559             
270          600      980      169.524             
270          600      1000     169.607             
270          700      20       162.077             
270          700      40       164.83              
270          700      60       166.443             
270          700      80       167.394             
270          700      100      167.855             
270          700      120      168.226             
270          700      140      168.305             
270          700      160      168.256             
270          700      180      168.07              
270          700      200      167.602             
270          700      220      167.166             
270          700      240      167.019             
270          700      260      166.989             
270          700      280      167.029             
270          700      300      167.228             
270          700      320      167.418             
270          700      340      167.811             
270          700      360      168.153             
270          700      380      168.32              
270          700      400      168.765             
270          700      420      168.927             
270          700      440      169.273             
270          700      460      169.164             
270          700      480      169.247             
270          700      500      169.314             
270          700      520      169.377             
270          700      540      169.49              
270          700      560      169.529             
270          700      580      169.516             
270          700      600      169.297             
270          700      620      169.262             
270          700      640      169.407             
270          700      660      169.54              
270          700      680      169.633             
270          700      700      169.561             
270          700      720      169.382             
270          700      740      169.441             
270          700      760      169.536             
270          700      780      169.706             
270          700      800      169.694             
270          700      820      169.613             
270          700      840      169.318             
270          700      860      169.447             
270          700      880      169.489             
270          700      900      169.552             
270          700      920      169.259             
270          700      940      169.216             
270          700      960      169.161             
270          700      980      169.286             
270          700      1000     169.26              
270          800      20       160.061             
270          800      40       162.867             
270          800      60       164.629             
270          800      80       165.704             
270          800      100      166.261             
270          800      120      166.752             
270          800      140      166.933             
270          800      160      166.981             
270          800      180      166.923             
270          800      200      166.939             
270          800      220      166.916             
270          800      240      166.791             
270          800      260      166.552             
270          800      280      166.288             
270          800      300      166.032             
270          800      320      165.578             
270          800      340      165.281             
270          800      360      165.75              
270          800      380      166.439             
270          800      400      167.144             
270          800      420      166.933             
270          800      440      167.289             
270          800      460      167.562             
270          800      480      167.747             
270          800      500      168.154             
270          800      520      168.385             
270          800      540      168.451             
270          800      560      168.311             
270          800      580      168.274             
270          800      600      168.407             
270          800      620      168.574             
270          800      640      168.582             
270          800      660      168.509             
270          800      680      168.233             
270          800      700      168.17              
270          800      720      168.274             
270          800      740      168.498             
270          800      760      168.41              
270          800      780      168.297             
270          800      800      168.284             
270          800      820      168.32              
270          800      840      168.329             
270          800      860      168.646             
270          800      880      168.11              
270          800      900      168.165             
270          800      920      168.217             
270          800      940      168.298             
270          800      960      168.364             
270          800      980      168.53              
270          800      1000     168.212             
270          900      20       158.257             
270          900      40       161.317             
270          900      60       163.095             
270          900      80       164.188             
270          900      100      164.819             
270          900      120      165.315             
270          900      140      165.608             
270          900      160      165.759             
270          900      180      165.838             
270          900      200      165.932             
270          900      220      166.011             
270          900      240      165.849             
270          900      260      165.718             
270          900      280      165.368             
270          900      300      165.495             
270          900      320      165.455             
270          900      340      165.574             
270          900      360      165.169             
270          900      380      165.023             
270          900      400      164.858             
270          900      420      165.345             
270          900      440      165.628             
270          900      460      165.632             
270          900      480      165.883             
270          900      500      166.171             
270          900      520      166.394             
270          900      540      166.63              
270          900      560      166.939             
270          900      580      167.283             
270          900      600      167.384             
270          900      620      167.374             
270          900      640      167.299             
270          900      660      167.408             
270          900      680      167.627             
270          900      700      167.834             
270          900      720      167.766             
270          900      740      167.634             
270          900      760      167.416             
270          900      780      167.177             
270          900      800      167.345             
270          900      820      167.571             
270          900      840      167.824             
270          900      860      167.484             
270          900      880      167.342             
270          900      900      167.318             
270          900      920      167.547             
270          900      940      167.556             
270          900      960      167.442             
270          900      980      167.19              
270          900      1000     167.205             
270          1000     20       156.922             
270          1000     40       159.587             
270          1000     60       161.619             
270          1000     80       162.642             
270          1000     100      163.343             
270          1000     120      164.093             
270          1000     140      164.439             
270          1000     160      164.599             
270          1000     180      164.9               
270          1000     200      164.86              
270          1000     220      165.107             
270          1000     240      165.196             
270          1000     260      165.089             
270          1000     280      165.055             
270          1000     300      164.697             
270          1000     320      164.498             
270          1000     340      164.302             
270          1000     360      164.326             
270          1000     380      164.135             
270          1000     400      164.422             
270          1000     420      164.444             
270          1000     440      164.424             
270          1000     460      164.209             
270          1000     480      164.466             
270          1000     500      164.911             
270          1000     520      165.2               
270          1000     540      165.545             
270          1000     560      165.819             
270          1000     580      165.819             
270          1000     600      165.537             
270          1000     620      165.385             
270          1000     640      165.77              
270          1000     660      166.314             
270          1000     680      166.438             
270          1000     700      166.47              
270          1000     720      166.472             
270          1000     740      166.503             
270          1000     760      166.864             
270          1000     780      166.74              
270          1000     800      167.187             
270          1000     820      166.333             
270          1000     840      166.615             
270          1000     860      166.779             
270          1000     880      166.769             
270          1000     900      166.805             
270          1000     920      166.967             
270          1000     940      166.569             
270          1000     960      166.531             
270          1000     980      166.562             
270          1000     1000     166.763             
270          1100     20       155.67              
270          1100     40       158.411             
270          1100     60       160.372             
270          1100     80       161.299             
270          1100     100      161.998             
