FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 270
Azimuth_end : 270
Azimuth_inc : 40
Range_beg : 100
Range_end : 50000
Range_inc : 100
Depth_beg : 20
Depth_end : 1000
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : 4135H__080_2100_080

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
270          100      20       183.849             
270          100      40       182.632             
270          100      60       183.776             
270          100      80       184.306             
270          100      100      184.372             
270          100      120      184.423             
270          100      140      184.234             
270          100      160      183.858             
270          100      180      183.357             
270          100      200      182.818             
270          100      220      182.295             
270          100      240      181.79              
270          100      260      181.258             
270          100      280      180.73              
270          100      300      180.214             
270          100      320      179.822             
270          100      340      179.417             
270          100      360      179.099             
270          100      380      178.545             
270          100      400      178.204             
270          100      420      177.884             
270          100      440      177.6               
270          100      460      177.231             
270          100      480      176.853             
270          100      500      176.596             
270          100      520      176.38              
270          100      540      176.125             
270          100      560      175.834             
270          100      580      175.515             
270          100      600      175.302             
270          100      620      175.116             
270          100      640      174.853             
270          100      660      174.576             
270          100      680      174.284             
270          100      700      174.24              
270          100      720      174.091             
270          100      740      173.887             
270          100      760      173.622             
270          100      780      173.54              
270          100      800      173.454             
270          100      820      173.328             
270          100      840      173.084             
270          100      860      172.865             
270          100      880      172.79              
270          100      900      172.68              
270          100      920      172.472             
270          100      940      172.162             
270          100      960      171.927             
270          100      980      171.86              
270          100      1000     171.733             
270          200      20       179.075             
270          200      40       179.265             
270          200      60       178.181             
270          200      80       177.183             
270          200      100      177.552             
270          200      120      178.25              
270          200      140      178.564             
270          200      160      178.773             
270          200      180      178.754             
270          200      200      178.682             
270          200      220      178.68              
270          200      240      178.626             
270          200      260      178.478             
270          200      280      178.313             
270          200      300      178.155             
270          200      320      177.984             
270          200      340      177.691             
270          200      360      177.385             
270          200      380      177.129             
270          200      400      176.886             
270          200      420      176.637             
270          200      440      176.343             
270          200      460      176.021             
270          200      480      175.751             
270          200      500      175.539             
270          200      520      175.321             
270          200      540      175.05              
270          200      560      174.741             
270          200      580      174.513             
270          200      600      174.353             
270          200      620      174.145             
270          200      640      173.892             
270          200      660      173.608             
270          200      680      173.439             
270          200      700      173.297             
270          200      720      173.156             
270          200      740      172.81              
270          200      760      172.645             
270          200      780      172.484             
270          200      800      172.362             
270          200      820      172.169             
270          200      840      171.905             
270          200      860      171.719             
270          200      880      171.633             
270          200      900      171.508             
270          200      920      171.275             
270          200      940      171.024             
270          200      960      170.921             
270          200      980      170.839             
270          200      1000     170.678             
270          300      20       174.126             
270          300      40       175.692             
270          300      60       175.997             
270          300      80       175.591             
270          300      100      174.792             
270          300      120      174.183             
270          300      140      173.922             
270          300      160      174.408             
270          300      180      174.885             
270          300      200      175.197             
270          300      220      175.292             
270          300      240      175.452             
270          300      260      175.472             
270          300      280      175.465             
270          300      300      175.315             
270          300      320      175.179             
270          300      340      175.179             
270          300      360      175.146             
270          300      380      175.106             
270          300      400      175.025             
270          300      420      174.89              
270          300      440      174.743             
270          300      460      174.617             
270          300      480      174.493             
270          300      500      174.347             
270          300      520      174.156             
270          300      540      173.953             
270          300      560      173.787             
270          300      580      173.651             
270          300      600      173.499             
270          300      620      173.31              
270          300      640      173.064             
270          300      660      172.894             
270          300      680      172.759             
270          300      700      172.645             
270          300      720      172.383             
270          300      740      172.192             
