FileType : Sound Exposure Level
FileVersion : 5
SourceKernel : 2.0
Routine : Parabolic
SEL_window_length(ms) : 10500
Azimuth_beg : 90
Azimuth_end : 90
Azimuth_inc : 90
Range_beg : 100
Range_end : 50000
Range_inc : 100
Depth_beg : 20
Depth_end : 1000
Depth_inc : 20
Filter_bool : 0
Coordinate_system : Cylindrical
Sea_WaterAttn : None
Notional_name : 4135H__080_2100_080

Azimuth:deg  Range:m  Depth:m  SEL:dB re 1uPa^2 s  
90           600      380      168.864             
90           600      400      169.075             
90           600      420      169.227             
90           600      440      169.347             
90           600      460      169.331             
90           600      480      169.308             
90           600      500      169.376             
90           600      520      169.484             
90           600      540      169.39              
90           600      560      169.379             
90           600      580      169.33              
90           600      600      169.284             
90           600      620      169.37              
90           600      640      169.298             
90           600      660      169.16              
90           600      680      168.874             
90           600      700      168.736             
90           600      720      168.828             
90           600      740      168.848             
90           600      760      169.291             
90           600      780      168.792             
90           600      800      168.889             
90           600      820      168.905             
90           600      840      168.944             
90           600      860      168.882             
90           600      880      168.793             
90           600      900      168.683             
90           600      920      168.599             
90           600      940      168.582             
90           600      960      168.523             
90           600      980      168.648             
90           600      1000     168.399             
90           700      20       161.561             
90           700      40       164.383             
90           700      60       166.157             
90           700      80       167.257             
90           700      100      167.834             
90           700      120      168.172             
90           700      140      168.34              
90           700      160      168.318             
90           700      180      168.262             
90           700      200      168.15              
90           700      220      167.963             
90           700      240      167.701             
90           700      260      167.474             
90           700      280      167.003             
90           700      300      166.834             
90           700      320      166.833             
90           700      340      166.598             
90           700      360      166.557             
90           700      380      166.837             
90           700      400      167.071             
90           700      420      167.238             
90           700      440      167.398             
90           700      460      167.671             
90           700      480      167.849             
90           700      500      167.965             
90           700      520      168.137             
90           700      540      168.071             
90           700      560      168.002             
90           700      580      168.124             
90           700      600      168.231             
90           700      620      168.217             
90           700      640      168.324             
90           700      660      168.151             
90           700      680      167.95              
90           700      700      167.973             
90           700      720      167.982             
90           700      740      168.154             
90           700      760      167.909             
90           700      780      167.822             
90           700      800      167.771             
90           700      820      168.003             
90           700      840      168.064             
90           700      860      167.938             
90           700      880      167.799             
90           700      900      167.744             
90           700      920      167.609             
90           700      940      167.463             
90           700      960      167.343             
90           700      980      167.185             
90           700      1000     167.107             
90           800      20       159.645             
90           800      40       162.49              
90           800      60       164.252             
90           800      80       165.445             
90           800      100      166.124             
90           800      120      166.623             
90           800      140      166.791             
90           800      160      167.094             
90           800      180      167.111             
90           800      200      167.165             
90           800      220      167.018             
90           800      240      166.857             
90           800      260      166.832             
90           800      280      166.504             
90           800      300      166.305             
90           800      320      166.109             
90           800      340      165.922             
90           800      360      165.702             
90           800      380      165.613             
90           800      400      165.549             
90           800      420      165.535             
90           800      440      165.83              
90           800      460      165.98              
90           800      480      166.205             
90           800      500      166.262             
90           800      520      166.331             
90           800      540      166.653             
90           800      560      166.809             
90           800      580      166.894             
90           800      600      167.041             
90           800      620      166.933             
90           800      640      166.84              
90           800      660      167.174             
90           800      680      167.108             
90           800      700      167.605             
90           800      720      166.895             
90           800      740      166.968             
90           800      760      167.003             
90           800      780      166.95              
90           800      800      167.023             
90           800      820      166.983             
90           800      840      166.918             
90           800      860      166.737             
90           800      880      166.789             
90           800      900      166.891             
90           800      920      166.808             
90           800      940      166.787             
90           800      960      166.581             
90           800      980      166.755             
90           800      1000     166.744             
90           900      20       157.71              
90           900      40       160.599             
90           900      60       162.605             
90           900      80       163.918             
90           900      100      164.721             
90           900      120      165.18              
90           900      140      165.442             
90           900      160      165.802             
90           900      180      165.794             
90           900      200      166.162             
90           900      220      166.112             
90           900      240      166.122             
90           900      260      166.212             
90           900      280      165.973             
90           900      300      165.656             
90           900      320      165.541             
90           900      340      165.231             
90           900      360      165.077             
90           900      380      164.849             
90           900      400      164.86              
90           900      420      164.788             
90           900      440      164.648             
90           900      460      164.558             
90           900      480      164.493             
90           900      500      164.877             
90           900      520      165.205             
90           900      540      165.292             
90           900      560      165.497             
90           900      580      165.502             
90           900      600      165.46              
90           900      620      165.904             
90           900      640      165.842             
90           900      660      166.2               
90           900      680      165.502             
90           900      700      165.795             
90           900      720      165.913             
90           900      740      165.917             
90           900      760      166.139             
90           900      780      166.222             
90           900      800      166.009             
90           900      820      165.9               
90           900      840      166.004             
90           900      860      166.032             
90           900      880      166.146             
90           900      900      166.228             
90           900      920      165.913             
90           900      940      165.901             
90           900      960      165.857             
90           900      980      165.952             
90           900      1000     165.846             
90           1000     20       156.751             
90           1000     40       159.536             
90           1000     60       161.524             
90           1000     80       162.498             
90           1000     100      162.998             
90           1000     120      163.662             
90           1000     140      164.357             
90           1000     160      164.385             
90           1000     180      164.706             
90           1000     200      165.011             
90           1000     220      165.06              
90           1000     240      165.236             
90           1000     260      165.299             
90           1000     280      165.098             
90           1000     300      165.326             
90           1000     320      165.181             
90           1000     340      164.913             
90           1000     360      164.779             
90           1000     380      164.512             
90           1000     400      164.276             
90           1000     420      163.832             
90           1000     440      163.736             
90           1000     460      163.726             
90           1000     480      163.785             
90           1000     500      163.816             
90           1000     520      163.836             
90           1000     540      163.761             
90           1000     560      163.723             
90           1000     580      164.299             
90           1000     600      164.371             
90           1000     620      164.788             
90           1000     640      164.406             
90           1000     660      164.88              
90           1000     680      164.841             
90           1000     700      164.86              
90           1000     720      165.223             
90           1000     740      165.273             
90           1000     760      165.12              
90           1000     780      165.227             
90           1000     800      164.976             
90           1000     820      165.094             
90           1000     840      165.294             
90           1000     860      165.185             
90           1000     880      165.067             
90           1000     900      165.053             
90           1000     920      164.932             
90           1000     940      165.068             
90           1000     960      165.163             
90           1000     980      165.199             
90           1000     1000     165.092             
90           1100     20       154.952             
90           1100     40       157.794             
90           1100     60       160.189             
90           1100     80       161.416             
90           1100     100      161.852             
90           1100     120      162.201             
